Q0017,https://alphafold.ebi.ac.uk/files/AF-Q9ZZX8-F1-model_v4.pdb
Q0032,https://alphafold.ebi.ac.uk/files/AF-Q9ZZX7-F1-model_v4.pdb
Q0045,https://files.rcsb.org/download/6GIQ.pdb
Q0050,https://alphafold.ebi.ac.uk/files/AF-P03875-F1-model_v4.pdb
Q0055,https://alphafold.ebi.ac.uk/files/AF-P03876-F1-model_v4.pdb
Q0060,https://alphafold.ebi.ac.uk/files/AF-P03877-F1-model_v4.pdb
Q0065,https://alphafold.ebi.ac.uk/files/AF-P03878-F1-model_v4.pdb
Q0070,https://alphafold.ebi.ac.uk/files/AF-Q9ZZX1-F1-model_v4.pdb
Q0075,https://alphafold.ebi.ac.uk/files/AF-Q9ZZX0-F1-model_v4.pdb
Q0080,https://files.rcsb.org/download/6CP6.pdb
Q0085,https://files.rcsb.org/download/6CP6.pdb
Q0092,https://alphafold.ebi.ac.uk/files/AF-Q35811-F1-model_v4.pdb
Q0105,https://files.rcsb.org/download/4PD4.pdb
Q0110,https://alphafold.ebi.ac.uk/files/AF-P03873-F1-model_v4.pdb
Q0115,https://files.rcsb.org/download/2AB5.pdb
Q0120,https://alphafold.ebi.ac.uk/files/AF-P03879-F1-model_v4.pdb
Q0130,https://files.rcsb.org/download/6CP6.pdb
Q0140,https://alphafold.ebi.ac.uk/files/AF-P02381-F1-model_v4.pdb
Q0142,https://alphafold.ebi.ac.uk/files/AF-Q9ZZW4-F1-model_v4.pdb
Q0143,https://alphafold.ebi.ac.uk/files/AF-Q9ZZW3-F1-model_v4.pdb
Q0144,https://alphafold.ebi.ac.uk/files/AF-Q9ZZW2-F1-model_v4.pdb
Q0160,https://files.rcsb.org/download/3OOL.pdb
Q0182,https://alphafold.ebi.ac.uk/files/AF-Q9ZZW1-F1-model_v4.pdb
Q0250,https://files.rcsb.org/download/6GIQ.pdb
Q0255,https://alphafold.ebi.ac.uk/files/AF-P03881-F1-model_v4.pdb
Q0275,https://files.rcsb.org/download/6GIQ.pdb
Q0297,https://alphafold.ebi.ac.uk/files/AF-Q9ZZV8-F1-model_v4.pdb
YAL001C,https://files.rcsb.org/download/5AIM.pdb
YAL002W,https://alphafold.ebi.ac.uk/files/AF-P39702-F1-model_v4.pdb
YAL003W,https://files.rcsb.org/download/1G7C.pdb
YAL004W,https://alphafold.ebi.ac.uk/files/AF-P39703-F1-model_v4.pdb
YAL005C,https://files.rcsb.org/download/5Z8Q.pdb
YAL007C,https://alphafold.ebi.ac.uk/files/AF-P39704-F1-model_v4.pdb
YAL008W,https://alphafold.ebi.ac.uk/files/AF-P18411-F1-model_v4.pdb
YAL009W,https://alphafold.ebi.ac.uk/files/AF-P18410-F1-model_v4.pdb
YAL010C,https://alphafold.ebi.ac.uk/files/AF-P18409-F1-model_v4.pdb
